season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,lead_gain
2022,4,608070,José Ramírez,28.5,1.74,12.295364583,5.031840278,3.8706463676923075,53.074124999999995,1.95,20,7,0.7466667647751354,-0.023570778261522762,5.031840278
2022,5,608070,José Ramírez,28.5,1.82,12.295364583,5.031840278,3.8706463676923075,50.85112499999999,1.95,20,7,0.7466667647751354,-0.023570778261522762,5.031840278
2022,6,547180,Bryce Harper,27.6,1.79,11.668186722,4.916755187,3.7821193746153843,50.0526,1.95,11,4,0.7446668236402166,-0.013545864887953285,4.916755187
2022,7,595879,Javier Báez,27.9,1.85,10.957180952,4.696933333,3.6130256407692305,48.96449999999999,1.95,9,2,0.8058335295502708,0.04469429395019353,4.696933333
2022,8,592663,J.T. Realmuto,28.7,1.82,12.115241176,4.642758824,3.5713529415384615,51.20797499999999,1.95,21,1,0.921975424918679,0.14774356805715472,4.642758824
2022,9,650402,Gleyber Torres,26.9,1.85,10.310364407,4.591076271,3.5315971315384616,48.29894999999999,1.9949999999999999,10,5,0.6946668236402166,-0.06092401302560779,4.591076271
2022,10,666624,Christopher Morel,28.8,1.79,12.111735849,4.541754717,3.4936574746153846,53.969759999999994,2.0149999999999997,10,7,0.6315152942183787,-0.1448940091829548,4.541754717
2022,11,643396,Isiah Kiner-Falefa,28.4,1.8,12.344880734,4.535688073,3.488990825384616,52.067139999999995,1.982,22,4,0.8352689184775591,0.06684824272595702,4.535688073
2022,12,681082,Bryson Stott,29.0,1.77,11.961878049,4.51182439,3.4706341461538464,56.700799999999994,2.08,12,4,0.7568255463240158,-0.024299229411686718,4.51182439
2022,13,677951,Bobby Witt Jr.,30.3,1.75,13.020939024,4.500591463,3.461993433076923,57.28215,1.99,30,7,0.8069842017334365,-0.016509969955101678,4.500591463
2022,14,641857,Ryan McMahon,25.8,1.79,10.081747368,4.470447368,3.438805667692308,46.7883,1.95,7,3,0.7262224315202889,-0.037147467625805564,4.470447368
2022,15,656941,Kyle Schwarber,26.4,1.82,11.027303483,4.432248756,3.40942212,48.31199999999999,2.0,10,1,0.8683335295502708,0.11100965166717347,4.432248756
2023,1,665923,Esteury Ruiz,29.6,1.73,14.319311111,5.684355556,4.372581196923076,54.41664,1.915,67,13,0.8340392526212275,0.035883425844402295,5.684355556
2023,2,605141,Mookie Betts,27.2,1.79,12.429531646,5.642240506,4.3401850046153845,50.46552,1.995,14,3,0.8133334760365606,0.05734014708209145,5.642240506
2023,3,665862,Jazz Chisholm Jr.,28.4,1.72,12.165130769,5.637923077,4.336863905384615,53.16763999999999,1.94,22,3,0.8631112157601444,0.09469054000854227,5.637923077
2023,4,678662,Ezequiel Tovar,28.1,1.8,12.819713656,5.417185022,4.167065401538461,49.385749999999994,1.9,11,5,0.7092064987049682,-0.05448473370096685,5.417185022
2023,5,680869,Zack Gelof,29.0,1.78,12.159210884,5.35655102,4.120423861538462,52.874249999999996,1.95,14,2,0.852063641562111,0.07093886582640851,5.35655102
2023,6,624428,Adam Frazier,26.5,1.79,12.576537879,5.210234848,4.007872959999999,48.7354875,1.9775,11,4,0.7446668236402166,-0.012070059829590973,5.210234848
2023,7,681546,James Outman,28.9,1.71,12.713019802,5.209613861,4.007395277692308,56.34632999999999,2.01,16,3,0.8288890197001805,0.05018207667412178,5.209613861
2023,8,608070,José Ramírez,27.8,1.77,12.295364583,5.031840278,3.8706463676923075,51.28405,1.9625,28,6,0.8177778582770342,0.05773433145251017,5.031840278
2023,9,608070,José Ramírez,27.8,1.8,12.295364583,5.031840278,3.8706463676923075,51.28405,1.9625,28,6,0.8177778582770342,0.05773433145251017,5.031840278
2023,10,547180,Bryce Harper,27.6,1.77,11.668186722,4.916755187,3.7821193746153843,49.2936,1.9,11,3,0.7838598143581228,0.025647125829952877,4.916755187
2023,11,641584,Jake Fraley,28.0,1.71,12.234175182,4.711321168,3.624093206153846,53.505199999999995,1.97,21,5,0.8030108539614301,0.040655716500882844,4.711321168
2023,12,595879,Javier Báez,28.1,1.83,10.957180952,4.696933333,3.6130256407692305,49.35203,1.93,12,0,0.9349021454590783,0.1712109130531433,4.696933333
2023,13,666139,Josh Lowe,28.7,1.72,12.320161616,4.644191919,3.5724553223076922,52.89840499999999,1.91,32,3,0.8973334118201084,0.1231015549585841,4.644191919
2023,14,592663,J.T. Realmuto,28.6,1.8,12.115241176,4.642758824,3.5713529415384615,51.58725,1.95,16,5,0.7651283258770897,-0.007046277529543121,4.642758824
